year,yday,tmax (deg c),tmin (deg c),fips_code,lat,lon
2020,1,4.62,4.62,0200065,51.86824597700007,-176.64029588199998
2020,2,5.72,5.72,0200065,51.86824597700007,-176.64029588199998
2020,3,5.66,2.94,0200065,51.86824597700007,-176.64029588199998
2020,4,10,-0.27,0200065,51.86824597700007,-176.64029588199998
2020,5,12,8.14,0200065,51.86824597700007,-176.64029588199998
2020,6,12.8,8.57,0200065,51.86824597700007,-176.64029588199998
2020,7,15,10,0200065,51.86824597700007,-176.64029588199998
2020,8,16.1,11.5,0200065,51.86824597700007,-176.64029588199998
2020,9,18.3,12.2,0200065,51.86824597700007,-176.64029588199998
2020,10,17.15,12.2,0200065,51.86824597700007,-176.64029588199998
2020,11,11.3,11.3,0200065,51.86824597700007,-176.64029588199998
2020,12,6.28,6.28,0200065,51.86824597700007,-176.64029588199998
2020,13,5.41,-0.37,0200065,51.86824597700007,-176.64029588199998
2020,14,7.77,2.25,0200065,51.86824597700007,-176.64029588199998
2020,15,13.4,12.2,0200065,51.86824597700007,-176.64029588199998
2020,16,13.4,11.7,0200065,51.86824597700007,-176.64029588199998
2020,17,12.8,10,0200065,51.86824597700007,-176.64029588199998
2020,18,9.91,9.91,0200065,51.86824597700007,-176.64029588199998
2020,19,12.12,5.42,0200065,51.86824597700007,-176.64029588199998
2020,20,9.51,1.33,0200065,51.86824597700007,-176.64029588199998
2020,21,7.61,-0.83,0200065,51.86824597700007,-176.64029588199998
2020,22,10.14,-2.87,0200065,51.86824597700007,-176.64029588199998
2020,23,8.42,7.16,0200065,51.86824597700007,-176.64029588199998
2020,24,8.98,8.98,0200065,51.86824597700007,-176.64029588199998
2020,25,9.46,9.46,0200065,51.86824597700007,-176.64029588199998
2020,26,6.29,6.29,0200065,51.86824597700007,-176.64029588199998
2020,27,5.21,5.21,0200065,51.86824597700007,-176.64029588199998
2020,28,6.01,6.01,0200065,51.86824597700007,-176.64029588199998
2020,29,7.48,5.45,0200065,51.86824597700007,-176.64029588199998
2020,30,9.68,6.45,0200065,51.86824597700007,-176.64029588199998
2020,31,12.2,10,0200065,51.86824597700007,-176.64029588199998
2020,32,14.41,10,0200065,51.86824597700007,-176.64029588199998
2020,33,10.74,10.74,0200065,51.86824597700007,-176.64029588199998
2020,34,6.69,6.45,0200065,51.86824597700007,-176.64029588199998
2020,35,6.74,5.15,0200065,51.86824597700007,-176.64029588199998
2020,36,6.14,6.14,0200065,51.86824597700007,-176.64029588199998
2020,37,9.81,5.86,0200065,51.86824597700007,-176.64029588199998
2020,38,5.01,3.58,0200065,51.86824597700007,-176.64029588199998
2020,39,-6.85,-6.85,0200065,51.86824597700007,-176.64029588199998
2020,40,3.87,1.12,0200065,51.86824597700007,-176.64029588199998
2020,41,13.3,10,0200065,51.86824597700007,-176.64029588199998
2020,42,13.3,12.2,0200065,51.86824597700007,-176.64029588199998
2020,43,9.49,9.49,0200065,51.86824597700007,-176.64029588199998
2020,44,16.1,11.7,0200065,51.86824597700007,-176.64029588199998
2020,45,14.4,11.7,0200065,51.86824597700007,-176.64029588199998
2020,46,14.07,11.4,0200065,51.86824597700007,-176.64029588199998
2020,47,9,8.15,0200065,51.86824597700007,-176.64029588199998
2020,48,0.53,-0.04,0200065,51.86824597700007,-176.64029588199998
2020,49,-2.59,-4.05,0200065,51.86824597700007,-176.64029588199998
2020,50,-0.55,-2.03,0200065,51.86824597700007,-176.64029588199998
2020,51,-6.99,-6.99,0200065,51.86824597700007,-176.64029588199998
2020,52,1.86,-12.24,0200065,51.86824597700007,-176.64029588199998
2020,53,12.2,2.02,0200065,51.86824597700007,-176.64029588199998
2020,54,11.1,10,0200065,51.86824597700007,-176.64029588199998
2020,55,7.37,7.37,0200065,51.86824597700007,-176.64029588199998
2020,56,4.7,4.7,0200065,51.86824597700007,-176.64029588199998
2020,57,10.81,8.1,0200065,51.86824597700007,-176.64029588199998
2020,58,16.1,10,0200065,51.86824597700007,-176.64029588199998
2020,59,18.3,10,0200065,51.86824597700007,-176.64029588199998
2020,60,11.49,10.11,0200065,51.86824597700007,-176.64029588199998
2020,61,1.1,1.1,0200065,51.86824597700007,-176.64029588199998
2020,62,5.79,3.85,0200065,51.86824597700007,-176.64029588199998
2020,63,7.88,1.49,0200065,51.86824597700007,-176.64029588199998
2020,64,12.2,10,0200065,51.86824597700007,-176.64029588199998
2020,65,15.6,10,0200065,51.86824597700007,-176.64029588199998
2020,66,12.95,10.6,0200065,51.86824597700007,-176.64029588199998
2020,67,14.98,11.21,0200065,51.86824597700007,-176.64029588199998
2020,68,14.28,7.35,0200065,51.86824597700007,-176.64029588199998
2020,69,3.42,3.42,0200065,51.86824597700007,-176.64029588199998
2020,70,11.7,-0.41,0200065,51.86824597700007,-176.64029588199998
2020,71,9.13,9.13,0200065,51.86824597700007,-176.64029588199998
2020,72,9.18,9.18,0200065,51.86824597700007,-176.64029588199998
2020,73,9.77,9.77,0200065,51.86824597700007,-176.64029588199998
2020,74,7.85,7.85,0200065,51.86824597700007,-176.64029588199998
2020,75,6.89,6.89,0200065,51.86824597700007,-176.64029588199998
2020,76,3.83,3.57,0200065,51.86824597700007,-176.64029588199998
2020,77,8.36,4.35,0200065,51.86824597700007,-176.64029588199998
2020,78,8.48,8.48,0200065,51.86824597700007,-176.64029588199998
2020,79,7.14,4.88,0200065,51.86824597700007,-176.64029588199998
2020,80,7.32,-3.18,0200065,51.86824597700007,-176.64029588199998
2020,81,8.64,0.58,0200065,51.86824597700007,-176.64029588199998
2020,82,8.65,3.5,0200065,51.86824597700007,-176.64029588199998
2020,83,8.37,6.36,0200065,51.86824597700007,-176.64029588199998
2020,84,10.87,2.81,0200065,51.86824597700007,-176.64029588199998
